"Symbol","Security","Added","Removed"
"MMM","3M",1957-03-04,NA
"AOS","A. O. Smith",2017-07-26,NA
"ABT","Abbott",1957-03-04,NA
"ABBV","AbbVie",2012-12-31,NA
"ACN","Accenture",2011-07-06,NA
"ADBE","Adobe Inc.",1997-05-05,NA
"AMD","Advanced Micro Devices",2017-03-20,NA
"AES","AES Corporation",1998-10-02,NA
"AFL","Aflac",1999-05-28,NA
"A","Agilent Technologies",2000-06-05,NA
"APD","Air Products and Chemicals",1985-04-30,NA
"ABNB","Airbnb",2023-09-18,NA
"AKAM","Akamai",2007-07-12,NA
"ALB","Albemarle Corporation",2016-07-01,NA
"ARE","Alexandria Real Estate Equities",2017-03-20,NA
"ALGN","Align Technology",2017-06-19,NA
"ALLE","Allegion",2013-12-02,NA
"LNT","Alliant Energy",2016-07-01,NA
"ALL","Allstate",1995-07-13,NA
"GOOGL","Alphabet Inc. (Class A)",2014-04-03,NA
"GOOG","Alphabet Inc. (Class C)",2006-04-03,NA
"MO","Altria",1957-03-04,NA
"AMZN","Amazon",2005-11-18,NA
"AMCR","Amcor",2019-06-07,NA
"AEE","Ameren",1991-09-19,NA
"AAL","American Airlines Group",2015-03-23,NA
"AEP","American Electric Power",1957-03-04,NA
"AXP","American Express",1976-06-30,NA
"AIG","American International Group",1980-03-31,NA
"AMT","American Tower",2007-11-19,NA
"AWK","American Water Works",2016-03-04,NA
"AMP","Ameriprise Financial",2005-10-03,NA
"AME","Ametek",2013-09-23,NA
"AMGN","Amgen",1992-01-02,NA
"APH","Amphenol",2008-09-30,NA
"ADI","Analog Devices",1999-10-12,NA
"ANSS","Ansys",2017-06-19,NA
"AON","Aon",1996-04-23,NA
"APA","APA Corporation",1997-07-28,NA
"AAPL","Apple Inc.",1982-11-30,NA
"AMAT","Applied Materials",1995-03-16,NA
"APTV","Aptiv",2012-12-24,NA
"ACGL","Arch Capital Group",2022-11-01,NA
"ADM","Archer-Daniels-Midland",1957-03-04,NA
"ANET","Arista Networks",2018-08-28,NA
"AJG","Arthur J. Gallagher & Co.",2016-05-31,NA
"AIZ","Assurant",2007-04-10,NA
"ATO","Atmos Energy",2019-02-15,NA
"ADSK","Autodesk",1989-12-01,NA
"ADP","Automated Data Processing",1981-03-31,NA
"AZO","AutoZone",1997-01-02,NA
